compound,LogP,num_ring,tc,num_hba,num_hbd,A_E_HOMO (a.u.),A_E_LUMO (a.u.),A_Molweight (Da),A_Total Atoms (n),A_Volume (Angstrom^3),A_Surface area (Bohr^2),A_Positive surface area (Bohr^2),A_Negative surface area (Bohr^2),A_Electric Density (g/cm^3),A_Potential Minimal value (kcal/mol),A_Potential Maximal value (kcal/mol),A_Internal charge separation (a.u.),A_MPI (eV),A_Nonpolar surface area (Angstrom^2),A_Polar surface area (Angstrom^2),A_Overall skewness (),A_Sphericity (),Vertical IP,Vertical EA,Mulliken electronegativity,Chemical potential,Hardness,Softness,Nucleophilicity index,Electrophilicity index,ESP_MAX_O_e,ESP_Pi_O_e,ALIE_AVG_O_e,LEA_MAX_O_e,rho_All_AVG_O_e,EDensity_MIN_O_e,EDensity_MAX_O_e,smiles,Metal,delta_G,Ionic_Radius,Atomic_Number,electronegativity,MW,coord_num,FirstIE,SecondIE,ThirdIE
CID_13318994,1.0589,1,40.540000000000006,1,1,-0.218638,-0.016466,184.15251,23,1576.69176,783.08173,0.0,783.08173,1.3088,-148.21289,-27.9871,0.04209826,3.60611035,0.0,219.29,-0.5041194203,0.8366,0.138957,-0.131845,0.003556,-0.003556,0.270802,3.692741,0.256318,2.3e-05,-117.079237495,4.8971385,9.3672795,-18.402399950000003,-0.00276186,0.0039877145,0.0040078905,CN(C)P(=O)(C1=CC=CC=C1)O,deltaG_Ni_4,-0.0563607999999931,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_88242618,2.1193,1,66.76,3,2,-0.248424,-0.001239,177.1152,21,1403.08645,708.4465,0.0,708.4465,1.4145,-137.93541,-31.18827,0.04893553,3.64127013,0.0,198.39,-0.1023130198,0.8555,0.172703,-0.127496,0.022603,-0.022603,0.3002,3.331117,0.228855,0.000851,-106.57599529000001,4.7757735,9.874891000000002,-19.562918435,-0.00267013,0.003988025,0.004008162,C1CCC(=CC1)P(=O)(O)OO,deltaG_Ni_4,-0.0239318539997839,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_169983104,1.9141,0,74.22,5,1,-0.265334,0.004236,297.30548,45,2686.53544,1374.65987,0.0,1374.65987,1.2401,-145.70306,-8.29427,0.05131282,2.45156256,2.65,382.3,-0.7960612119,0.6799,0.171674,-0.087635,0.042019,-0.042019,0.25931,3.856391,0.236313,0.003404,-113.07421508,4.960685,9.4731745,-18.229103424999998,-0.00265918,0.003987384,0.0040090615,CC(C)CCOCCOCCOCCOP(=O)(C)O,deltaG_Ni_4,-0.0403853300003902,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_13433026,2.4554,2,59.42,3,1,-0.232131,-0.034322,228.22389,27,1869.73587,921.35254,0.0,921.35254,1.3678,-148.29154,-17.98814,0.04575276,3.32306856,0.0,258.0,-0.2561058553,0.7966,0.147794,-0.112561,0.017617,-0.017617,0.260355,3.840905,0.257183,0.000596,-107.51851929,5.681046,9.2594515,-17.7876694,-0.00294752,0.0039850215,0.004009601,COC1=CC=CC=C1C2=C(C=CN=C2)C(=O)O,deltaG_Ni_4,-0.0531859760005772,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_20196937,2.3985000000000003,0,46.53,2,1,-0.256662,0.004395,179.17418,27,1669.12777,866.62596,0.0,866.62596,1.2029,-148.97333,-24.49609,0.04938686,3.31286588,0.0,242.68,-0.5573867651,0.7852,0.158209,-0.12352,0.017344,-0.017344,0.281729,3.549515,0.248236,0.000534,-118.91025082499999,4.4360535,9.373507499999999,-18.38824838,-0.00274704,0.0039796855,0.0040089905,CCCCCCP(=O)(O)OC,deltaG_Ni_4,-0.0564944020006805,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_73603922,1.8475000000000006,1,77.76,3,3,-0.22172,-0.006896,229.18991,29,1873.0446,882.47197,0.0,882.47197,1.3712,-138.90564,-16.41568,0.03723717,3.39371916,0.0,247.12,-0.4263464803,0.8327,0.150683,-0.129038,0.010822,-0.010822,0.279721,3.574989,0.238288,0.000209,-110.024602245,3.7744644999999997,9.6669605,-19.564442550000003,-0.0028615000000000003,0.0039822174999999994,0.0040083105,CCP(=O)(C(C)(C1=CC=CC=C1O)O)O,deltaG_Ni_4,-0.0353926600000704,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_87884322,1.7931999999999997,1,75.99000000000001,4,2,-0.258162,-0.012147,203.10946,21,1518.16986,773.75414,0.0,773.75414,1.4992,-134.28134,-21.35122,0.0482937,3.51003508,0.0,216.67,-0.0528932415,0.8256,0.186368,-0.121832,0.032268,-0.032268,0.3082,3.244643,0.215398,0.001689,-110.095534415,3.3478079999999997,10.121413,-19.788879275,-0.00260293,0.003980399,0.0040088645,C1=CC=C(C=C1)COP(=O)(O)OO,deltaG_Ni_4,-0.0326930340006583,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_54093270,1.2426,0,72.83000000000001,4,1,-0.274218,-0.047912,193.11461,22,1522.91266,772.90579,0.0,772.90579,1.421,-133.88927,-31.73082,0.041554,3.62477842,0.0,216.44,-0.1520796107,0.8282,,,,,,,,,-106.98115855500001,3.2472399999999997,10.066283,-19.44352827,-0.00261429,0.0039872745000000005,0.0040094495,CCOP(=O)(O)OC(=O)C(=C)C,deltaG_Ni_4,-0.0389261219997933,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_87269292,2.2030199999999995,1,72.55,3,2,-0.213315,-0.011415,242.23177,33,2085.98737,1004.05651,0.0,1004.05651,1.3013,-144.96117,-22.22352,0.04359009,3.23628947,0.0,281.16,-0.665295968,0.7863,0.14881,-0.118921,0.014945,-0.014945,0.267731,3.735095,0.243139,0.000417,-113.355042725,4.8082210000000005,9.59637,-19.116355634999998,-0.00255969,0.0039864165,0.00400921,CCC(C)OP(=O)(C1=C(C=C(C=C1)C)N)O,deltaG_Ni_4,-0.0440395699997679,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_63192008,1.4562000000000002,1,71.44,3,1,-0.233719,0.004118,233.30476,32,1939.65998,903.21889,0.0,903.21889,1.3479,-133.80223,-39.66769,0.03358017,3.27324254,0.0,252.93,-0.4976877249,0.8327,0.16264,-0.127154,0.017743,-0.017743,0.289794,3.450729,0.246382,0.000543,-103.379557365,4.132193,9.2787165,-18.691361960000002,-0.0033868450000000003,0.003987844,0.0040081475,CS(=O)(=O)CCCC1(CCCC1)C(=O)O,deltaG_Ni_4,-0.0813802999998642,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_138549,1.6733,0,37.3,1,1,-0.236871,0.00495,127.16131,20,1292.59807,703.44283,0.0,703.44283,1.1024,-158.59724,-29.84397,0.0555412,3.54664855,0.0,196.98,-0.4463863193,0.8158,0.13689,-0.128426,0.004232,-0.004232,0.265315,3.7691,0.275683,3.4e-05,-116.720360785,6.3726915,9.2722685,-17.078024595000002,-0.003124625,0.003982835,0.0040095165,CC(C)C=CCC(=O)O,deltaG_Ni_4,-0.0657392419998359,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_73837185,5.343300000000005,0,46.53,2,1,-0.222539,0.004009,297.45351,54,3064.14841,1526.32663,0.0,1526.32663,1.0878,-155.23246,-8.9249,0.05028624,2.28933118,0.89,426.53,-1.0303745085,0.6684,0.132368,-0.086175,0.023097,-0.023097,0.218543,4.575762,0.279771,0.00122,-116.10480139,5.819654,8.9386775,-17.097656085,-0.0031319349999999998,0.003986284,0.0040082625,CCCCCCCCCCC=CCCCC(C(=O)O)OC,deltaG_Ni_4,-0.0559204500000305,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_20975276,2.456200000000001,0,55.760000000000005,5,1,-0.228588,-0.018352,217.22331,21,1640.12333,831.10818,0.0,831.10818,1.4841,-134.86048,-33.44351,0.04319381,3.56175088,0.0,232.73,-0.2106623636,0.8092,0.15279,-0.130613,0.011088,-0.011088,0.283403,3.528545,0.241672,0.000217,-107.681959465,3.2578864999999997,9.997812,-19.107301309999997,-0.0023564099999999998,0.003980145500000001,0.0040093235,CCSOP(=O)(O)OSCC,deltaG_Ni_4,-0.0350227700005234,0.55,28,1.91,58.69,4,7.63,18.16,35.19
